local_time,power_output
2019/1/1 0:00,0.3056
2019/2/1 0:00,0.5278
2019/3/1 0:00,1.065
2019/4/1 0:00,1.204
2019/5/1 0:00,1.417
2019/6/1 0:00,0.9537
2019/7/1 0:00,1.019
2019/8/1 0:00,0.8426
2019/9/1 0:00,0.9167
2019/10/1 0:00,0.4537
2019/11/1 0:00,0.2315
2019/12/1 0:00,0.2685
