Wvlgth nm,Global tilt W*m-2*nm-1
481.079,3100.77
481.444,3038.72
481.81,2867.45
482.175,2867.45
482.54,2721.01
482.905,2676.33
483.27,2666.4
483.635,2624.2
484,2400.82
484.365,2423.15
484.73,2281.67
485.095,2227.07
485.459,2244.44
485.824,2222.1
486.189,2070.7
486.553,2122.82
486.918,1956.52
487.283,1951.55
487.647,1924.25
488.012,1884.54
488.376,1755.47
488.74,1812.56
489.105,1780.29
489.469,1780.29
489.833,1671.08
490.198,1581.72
490.562,1606.54
490.926,1604.06
491.29,1524.63
491.654,1474.99
492.018,1524.63
492.382,1432.79
492.746,1363.3
493.11,1323.58
493.474,1398.05
493.837,1388.12
494.201,1182.1
494.565,1241.67
494.928,1172.17
495.292,1149.83
495.656,1179.62
496.019,1152.32
496.383,1077.85
496.746,1097.71
497.109,1065.44
497.473,1025.73
497.836,993.46
498.199,921.48
498.563,946.3
498.926,1003.39
499.289,963.68
499.652,889.21
500.015,832.13
500.378,884.25
500.741,854.46
501.104,804.82
501.467,827.16
501.829,807.3
502.192,730.36
502.555,775.04
502.918,715.47
503.28,735.32
503.643,735.32
504.005,703.06
504.368,680.72
504.73,690.65
505.093,621.15
505.455,636.04
505.817,688.16
506.18,638.52
506.542,633.56
506.904,633.56
507.266,655.9
507.628,596.33
507.991,645.97
508.353,583.92
508.715,578.95
509.076,556.61
509.438,531.79
509.8,551.65
510.162,578.95
510.524,601.29
510.885,492.08
511.247,559.09
511.609,484.63
511.97,477.18
512.332,499.52
512.693,549.17
513.055,581.43
513.416,539.24
513.778,536.76
514.139,487.11
514.5,447.4
514.861,519.38
515.223,551.65
515.584,556.61
515.945,477.18
516.306,467.26
516.667,492.08
517.028,444.92
517.389,482.15
517.75,487.11
518.11,452.36
518.471,484.63
518.832,444.92
519.193,484.63
519.553,492.08
519.914,469.74
520.274,484.63
520.635,410.17
520.995,519.38
521.356,425.06
521.716,432.51
522.076,370.45
522.437,422.58
522.797,472.22
523.157,469.74
523.517,464.77
523.877,502.01
524.238,509.45
524.598,449.88
524.958,447.4
525.317,469.74
525.677,390.31
526.037,472.22
526.397,402.72
526.757,437.47
527.116,472.22
527.476,392.79
527.836,420.1
528.195,454.85
528.555,427.54
528.914,444.92
529.274,484.63
529.633,427.54
529.993,385.35
530.352,422.58
530.711,444.92
531.07,395.28
531.429,472.22
531.789,425.06
532.148,454.85
532.507,459.81
532.866,390.31
533.225,415.13
533.584,415.13
533.942,390.31
534.301,417.61
534.66,472.22
535.019,355.56
535.377,365.49
535.736,472.22
536.095,412.65
536.453,390.31
536.812,390.31
537.17,474.7
537.528,434.99
537.887,365.49
538.245,392.79
538.603,427.54
538.962,444.92
539.32,454.85
539.678,365.49
540.036,484.63
540.394,427.54
540.752,479.67
541.11,544.2
541.468,569.02
541.826,573.99
542.184,506.97
542.541,561.58
542.899,549.17
543.257,536.76
543.614,494.56
543.972,452.36
544.33,489.6
544.687,506.97
545.045,482.15
545.402,588.88
545.759,727.88
546.117,631.08
546.474,576.47
546.831,514.42
547.188,472.22
547.546,457.33
547.903,534.27
548.26,477.18
548.617,430.02
548.974,444.92
