Wvlgth nm,Global tilt W*m-2*nm-1
488.012,338.5
488.376,316.16
488.74,380.69
489.105,271.48
489.469,273.96
489.833,358.35
490.198,375.73
490.562,383.17
490.926,313.68
491.29,370.76
491.654,353.39
492.018,360.84
492.382,395.59
492.746,445.23
493.11,383.17
493.474,370.76
493.837,293.82
494.201,365.8
494.565,326.09
494.928,331.05
495.292,398.07
495.656,350.91
496.019,321.12
496.383,375.73
496.746,412.96
497.109,264.03
497.473,432.82
497.836,353.39
498.199,311.19
498.563,355.87
498.926,340.98
499.289,420.41
499.652,286.37
500.015,318.64
500.378,331.05
500.741,333.53
501.104,417.92
501.467,380.69
501.829,472.53
502.192,244.18
502.555,291.34
502.918,298.78
503.28,318.64
503.643,360.84
504.005,365.8
504.368,348.43
504.73,308.71
505.093,308.71
505.455,393.1
505.817,316.16
506.18,318.64
506.542,383.17
506.904,318.64
507.266,316.16
507.628,296.3
507.991,383.17
508.353,355.87
508.715,273.96
509.076,296.3
509.438,326.09
509.8,385.66
510.162,350.91
510.524,405.51
510.885,380.69
511.247,420.41
511.609,306.23
511.97,368.28
512.332,355.87
512.693,412.96
513.055,318.64
513.416,380.69
513.778,298.78
514.139,355.87
514.5,336.01
514.861,368.28
515.223,417.92
515.584,333.53
515.945,410.48
516.306,336.01
516.667,393.1
517.028,303.75
517.389,405.51
517.75,283.89
518.11,340.98
518.471,375.73
518.832,340.98
519.193,405.51
519.553,365.8
519.914,373.25
520.274,360.84
520.635,293.82
520.995,375.73
521.356,301.27
521.716,360.84
522.076,328.57
522.437,390.62
522.797,336.01
523.157,467.57
523.517,383.17
523.877,353.39
524.238,348.43
524.598,345.94
524.958,318.64
525.317,415.44
525.677,405.51
526.037,388.14
526.397,256.59
526.757,378.21
527.116,390.62
527.476,395.59
527.836,318.64
528.195,321.12
528.555,363.32
528.914,303.75
529.274,355.87
529.633,318.64
529.993,348.43
530.352,405.51
530.711,390.62
531.07,365.8
531.429,358.35
531.789,343.46
532.148,316.16
532.507,403.03
532.866,380.69
533.225,398.07
533.584,395.59
533.942,405.51
534.301,425.37
534.66,408
535.019,333.53
535.377,375.73
535.736,365.8
536.095,296.3
536.453,343.46
536.812,331.05
537.17,360.84
537.528,360.84
537.887,350.91
538.245,355.87
538.603,393.1
538.962,417.92
539.32,378.21
539.678,348.43
540.036,465.08
540.394,410.48
540.752,417.92
541.11,467.57
541.468,492.39
541.826,470.05
542.184,437.78
542.541,527.14
542.899,422.89
543.257,415.44
543.614,477.49
543.972,383.17
544.33,393.1
544.687,430.33
545.045,489.91
545.402,566.85
545.759,673.58
546.117,569.33
546.474,546.99
546.831,472.53
547.188,487.42
547.546,479.98
547.903,398.07
548.26,363.32
548.617,475.01
548.974,378.21
549.331,368.28
549.687,373.25
550.044,425.37
550.401,410.48
550.758,408
551.114,447.71
551.471,395.59
551.828,405.51
552.184,393.1
552.541,363.32
552.897,398.07
553.254,390.62
553.61,390.62
553.966,405.51
554.323,445.23
554.679,442.75
555.035,373.25
555.391,293.82
555.747,400.55
556.103,420.41
556.459,390.62
556.815,365.8
557.171,390.62
557.527,422.89
557.883,408
558.239,403.03
558.594,340.98
558.95,308.71
559.306,460.12
559.661,388.14
560.017,331.05
560.372,403.03
560.728,368.28
561.083,388.14
561.438,388.14
561.794,338.5
562.149,331.05
562.504,348.43
562.859,313.68
563.215,412.96
563.57,348.43
563.925,427.85
564.28,318.64
564.635,350.91
564.99,336.01
565.344,437.78
565.699,338.5
566.054,427.85
566.409,358.35
566.763,405.51
567.118,467.57
567.473,442.75
567.827,333.53
568.182,368.28
568.536,405.51
568.891,442.75
569.245,321.12
569.599,385.66
569.953,432.82
570.308,395.59
570.662,400.55
571.016,417.92
571.37,395.59
571.724,420.41
572.078,380.69
572.432,432.82
572.786,457.64
573.14,425.37
573.494,373.25
573.847,447.71
574.201,455.16
574.555,348.43
574.908,415.44
575.262,410.48
575.615,462.6
575.969,455.16
576.322,432.82
576.676,475.01
577.029,432.82
577.382,504.8
577.736,435.3
578.089,410.48
578.442,489.91
578.795,499.83
579.148,455.16
579.501,475.01
579.854,502.32
580.207,502.32
580.56,412.96
580.913,460.12
581.265,504.8
581.618,504.8
581.971,494.87
582.324,559.4
582.676,517.21
583.029,599.12
583.381,549.48
583.734,484.94
584.086,586.71
584.438,502.32
584.791,512.24
585.143,492.39
585.495,544.51
585.847,576.78
586.2,529.62
586.552,599.12
586.904,628.9
587.256,618.97
587.608,596.64
587.959,661.17
588.311,551.96
588.663,705.85
589.015,700.88
589.367,681.03
589.718,658.69
590.07,678.55
